10		Lahko	Anseriformes	Sorsalinnut				
20		OXYJAM	Oxyura jamaicensis	Kuparisorsa	Amerikansk kopparand	Ruddy Duck
30		CYGOLO	Cygnus olor	Kyhmyjoutsen	Knölsvan	Mute Swan
40		CYGCOL	Cygnus columbianus	Pikkujoutsen	Mindre sångsvan	Tundra Swan
50		CYGCYG	Cygnus cygnus	Laulujoutsen	Sångsvan	Whooper Swan
60		BRABER	Branta bernicla	Sepelhanhi	Prutgås	Brant Goose
70		BRARUF	Branta ruficollis	Punakaulahanhi	Rödhalsad gås	Red-breasted Goose
80		BRACAN	Branta canadensis	Kanadanhanhi	Kanadagås	Canada Goose
90		BRALEU	Branta leucopsis	Valkoposkihanhi	Vitkindad gås	Barnacle Goose
100		BRAHUT	Branta hutchinsii	Pikkukanadanhanhi	Polargås	Cackling Goose
110		ANSIND	Anser indicus	Tiibetinhanhi	Stripgås	Bar-headed Goose
120		ANSROS	Anser rossii	Eskimohanhi	Dvärgsnögås	Ross's Goose
130		ANSANS	Anser anser	Merihanhi	Grågås	Greylag Goose
140		ANSERY	Anser erythropus	Kiljuhanhi	Fjällgås	Lesser White-fronted Goose
150		ANSALB	Anser albifrons	Tundrahanhi	Bläsgås	Greater White-fronted Goose
160		ANSSER	Anser serrirostris	Tundrametsähanhi	Tundragås	Tundra Bean Goose
170		ANSBRA	Anser brachyrhynchus	Lyhytnokkahanhi	Spetsbergsgås	Pink-footed Goose
180		ANSLIS	Anser fabalis	Taigametsähanhi	Skogsgås	Taiga Bean Goose
190		AIXGAL	Aix galericulata	Mandariinisorsa	Mandarinand	Mandarin Duck
200		TADTAD	Tadorna tadorna	Ristisorsa	Gravand	Common Shelduck
210		TADFER	Tadorna ferruginea	Ruostesorsa	Rostand	Ruddy Shelduck
220		CLAHYE	Clangula hyemalis	Alli	Alfågel	Long-tailed Duck
230		POLSTE	Polysticta stelleri	Allihaahka	Alförrädare	Steller's Eider
240		SOMSPE	Somateria spectabilis	Kyhmyhaahka	Praktejder	King Eider
250		SOMMOL	Somateria mollissima	Haahka	Ejder	Common Eider
260		HISHIS	Histrionicus histrionicus	Virta-alli	Strömand	Harlequin Duck
270		MELNIG	Melanitta nigra	Mustalintu	Sjöorre	Common Scoter
280		MELAME	Melanitta americana	Amerikanmustalintu	Amerikansk sjöorre	Black Scoter
290		MELPER	Melanitta perspicillata	Pilkkaniska	Vitnackad svärta	Surf Scoter
300		MELFUS	Melanitta fusca	Pilkkasiipi	Svärta	Velvet Scoter
310		MELDEG	Melanitta deglandi	Amerikanpilkkasiipi	Amerikansk knölsvärta	White-winged Scoter
320		MELSTE	Melanitta stejnegeri	Siperianpilkkasiipi	Sibirisk knölsvärta	Stejneger's Scoter
330		BUCCLA	Bucephala clangula	Telkkä	Knipa	Common Goldeneye
340		MERALB	Mergellus albellus	Uivelo	Salskrake	Smew
350		MERSER	Mergus serrator	Tukkakoskelo	Småskrake	Red-breasted Merganser
360		MERMER	Mergus merganser	Isokoskelo	Storskrake	Common Merganser
370		NETRUF	Netta rufina	Punapäänarsku	Rödhuvad dykand	Red-crested Pochard
380		AYTNYR	Aythya nyroca	Ruskosotka	Vitögd dykand	Ferruginous Duck
390		AYTFER	Aythya ferina	Punasotka	Brunand	Common Pochard
400		AYTCOL	Aythya collaris	Amerikantukkasotka	Ringand	Ring-necked Duck
410		AYTFUL	Aythya fuligula	Tukkasotka	Vigg	Tufted Duck
420		AYTAFF	Aythya affinis	Pikkulapasotka	Mindre bergand	Lesser Scaup
430		AYTMAR	Aythya marila	Lapasotka	Bergand	Greater Scaup
440		SIBFOR	Sibirionetta formosa	Siperiantavi	Gulkindad kricka	Baikal Teal
450		SPAQUE	Spatula querquedula	Heinätavi	Årta	Garganey
460		SPADIS	Spatula discors	Sinisiipitavi	Blåvingad årta	Blue-winged Teal
470		SPACLY	Spatula clypeata	Lapasorsa	Skedand	Northern Shoveler
480		MARSTR	Mareca strepera	Harmaasorsa	Snatterand	Gadwall
490		MARPEN	Mareca penelope	Haapana	Bläsand	Eurasian Wigeon
500		MARAME	Mareca americana	Amerikanhaapana	Amerikansk bläsand	American Wigeon
510		ANAPLA	Anas platyrhynchos	Sinisorsa	Gräsand	Mallard
520		ANARUB	Anas rubripes	Nokisorsa	Svartand	American Black Duck
530		ANAACU	Anas acuta	Jouhisorsa	Stjärtand	Northern Pintail
540		ANACRE	Anas crecca	Tavi	Kricka	Green-winged Teal
550		Lahko	Galliformes	Kanalinnut				
560		TETBON	Tetrastes bonasia	Pyy	Järpe	Hazel Grouse
570		LAGMUT	Lagopus muta	Kiiruna	Fjällripa	Rock Ptarmigan
580		LAGLAG	Lagopus lagopus	Riekko	Dalripa	Willow Ptarmigan
590		TETURO	Tetrao urogallus	Metso	Tjäder	Western Capercaillie
600		LYRTET	Lyrurus tetrix	Teeri	Orre	Black Grouse
610		PERPER	Perdix perdix	Peltopyy	Rapphöna	Grey Partridge
620		PHACOL	Phasianus colchicus	Fasaani	Fasan	Common Pheasant
630		COTCOT	Coturnix coturnix	Viiriäinen	Vaktel	Common Quail
640		Lahko	Podicipediformes	Uikkulinnut				
650		TACRUF	Tachybaptus ruficollis	Pikku-uikku	Smådopping	Little Grebe
660		PODAUR	Podiceps auritus	Mustakurkku-uikku	Svarthakedopping	Horned Grebe
670		PODGRI	Podiceps grisegena	Härkälintu	Gråhakedopping	Red-necked Grebe
680		PODCRI	Podiceps cristatus	Silkkiuikku	Skäggdopping	Great Crested Grebe
690		PODNIG	Podiceps nigricollis	Mustakaulauikku	Svarthalsad dopping	Black-necked Grebe
700		Lahko	Otidiformes	Trappilinnut				
710		OTITAR	Otis tarda	Isotrappi	Stortrapp	Great Bustard
720		CHLMAC	Chlamydotis macqueenii	Idänkaulustrappi	Kragtrapp	Asian Houbara
730		TETTET	Tetrax tetrax	Pikkutrappi	Småtrapp	Little Bustard
740		Lahko	Cuculiformes	Käkilinnut				
750		CLAGLA	Clamator glandarius	Harakkakäki	Skatgök	Great Spotted Cuckoo
760		CUCCAN	Cuculus canorus	Käki	Gök	Common Cuckoo
770		CUCOPT	Cuculus optatus	Idänkäki	Tajgagök	Oriental Cuckoo
780		Lahko	Pteroclidiformes	Hietakanalinnut				
790		SYRPAR	Syrrhaptes paradoxus	Arokyyhky	Stäppflyghöna	Pallas's Sandgrouse
800		Lahko	Columbiformes	Kyyhkylinnut				
810		STRORI	Streptopelia orientalis	Idänturturikyyhky	Större turturduva	Oriental Turtle Dove
820		STRTUR	Streptopelia turtur	Turturikyyhky	Turturduva	European Turtle Dove
830		STRDEC	Streptopelia decaocto	Turkinkyyhky	Turkduva	Eurasian Collared Dove
840		COLPAL	Columba palumbus	Sepelkyyhky	Ringduva	Common Wood Pigeon
850		COLLIV	Columba livia	Kesykyyhky	Tamduva	Feral Pigeon
860		COLOEN	Columba oenas	Uuttukyyhky	Skogsduva	Stock Dove
870		Lahko	Gruiformes	Kurkilinnut				
880		ANTCAN	Antigone canadensis	Hietakurki	Prärietrana	Sandhill Crane
890		GRUVIR	Grus virgo	Neitokurki	Jungfrutrana	Demoiselle Crane
900		GRUGRU	Grus grus	Kurki	Trana	Common Crane
910		RALAQU	Rallus aquaticus	Luhtakana	Vattenrall	Water Rail
920		CRECRE	Crex crex	Ruisrääkkä	Kornknarr	Corn Crake
930		PORPOR	Porzana porzana	Luhtahuitti	Småfläckig sumphöna	Spotted Crake
940		GALCHL	Gallinula chloropus	Liejukana	Rörhöna	Common Moorhen
950		FULATR	Fulica atra	Nokikana	Sothöna	Eurasian Coot
960		PORALL	Porphyrio alleni	Kurnuliejukana	Mindre sultanhöna	Allen's Gallinule
970		ZAPPAR	Zapornia parva	Pikkuhuitti	Mindre sumphöna	Little Crake
980		ZAPPUS	Zapornia pusilla	Kääpiöhuitti	Dvärgsumphöna	Baillon's Crake
990		Lahko	Charadriiformes	Rantalinnut				
1000		BUROED	Burhinus oedicnemus	Paksujalka	Tjockfot	Eurasian Stone-curlew
1010		RECAVO	Recurvirostra avosetta	Avosetti	Skärfläcka	Pied Avocet
1020		HIMHIM	Himantopus himantopus	Pitkäjalka	Styltlöpare	Black-winged Stilt
1030		HAEOST	Haematopus ostralegus	Meriharakka	Strandskata	Eurasian Oystercatcher
1040		PLUSQU	Pluvialis squatarola	Tundrakurmitsa	Kustpipare	Grey Plover
1050		PLUAPR	Pluvialis apricaria	Kapustarinta	Ljungpipare	European Golden Plover
1060		PLUDOM	Pluvialis dominica	Amerikankurmitsa	Amerikansk tundrapipare	American Golden Plover
1070		PLUFUL	Pluvialis fulva	Siperiankurmitsa	Sibirisk tundrapipare	Pacific Golden Plover
1080		EUDMOR	Eudromias morinellus	Keräkurmitsa	Fjällpipare	Eurasian Dotterel
1090		CHAHIA	Charadrius hiaticula	Tylli	Större strandpipare	Common Ringed Plover
1100		THIDUB	Thinornis dubius	Pikkutylli	Mindre strandpipare	Little Ringed Plover
1110		VANVAN	Vanellus vanellus	Töyhtöhyyppä	Tofsvipa	Northern Lapwing
1120		VANGRE	Vanellus gregarius	Arohyyppä	Stäppvipa	Sociable Lapwing
1130		VANLEU	Vanellus leucurus	Suohyyppä	Sumpvipa	White-tailed Lapwing
