Lahko Anseriformes - Sorsalinnut					
Heimo Anatidae - Sorsat					
OXYJAM	Oxyura jamaicensis	C	kuparisorsa	amerikansk kopparand	Ruddy Duck
CYGOLO	Cygnus olor		kyhmyjoutsen	knölsvan	Mute Swan
CYGCOL	Cygnus columbianus		pikkujoutsen	mindre sångsvan	Tundra Swan
CYGCYG	Cygnus cygnus		laulujoutsen	sångsvan	Whooper Swan
BRABER	Branta bernicla		sepelhanhi	prutgås	Brant Goose
BRARUF	Branta ruficollis		punakaulahanhi	rödhalsad gås	Red-breasted Goose
BRACAN	Branta canadensis	C	kanadanhanhi	kanadagås	Canada Goose
BRALEU	Branta leucopsis		valkoposkihanhi	vitkindad gås	Barnacle Goose
BRAHUT	Branta hutchinsii		pikkukanadanhanhi	polargås	Cackling Goose
ANSIND	Anser indicus	C	tiibetinhanhi	stripgås	Bar-headed Goose
ANSROS	Anser rossii		eskimohanhi	dvärgsnögås	Ross's Goose
ANSANS	Anser anser		merihanhi	grågås	Greylag Goose
ANSERY	Anser erythropus		kiljuhanhi	fjällgås	Lesser White-fronted Goose
ANSALB	Anser albifrons		tundrahanhi	bläsgås	Greater White-fronted Goose
ANSSER	Anser serrirostris		tundrametsähanhi	tundragås	Tundra Bean Goose
ANSBRA	Anser brachyrhynchus		lyhytnokkahanhi	spetsbergsgås	Pink-footed Goose
ANSLIS	Anser fabalis		taigametsähanhi	skogsgås	Taiga Bean Goose
AIXGAL	Aix galericulata	C	mandariinisorsa	mandarinand	Mandarin Duck
TADTAD	Tadorna tadorna		ristisorsa	gravand	Common Shelduck
TADFER	Tadorna ferruginea		ruostesorsa	rostand	Ruddy Shelduck
CLAHYE	Clangula hyemalis		alli	alfågel	Long-tailed Duck
POLSTE	Polysticta stelleri		allihaahka	alförrädare	Steller's Eider
SOMSPE	Somateria spectabilis		kyhmyhaahka	praktejder	King Eider
SOMMOL	Somateria mollissima		haahka	ejder	Common Eider
HISHIS	Histrionicus histrionicus		virta-alli	strömand	Harlequin Duck
MELNIG	Melanitta nigra		mustalintu	sjöorre	Common Scoter
MELAME	Melanitta americana		amerikanmustalintu	amerikansk sjöorre	Black Scoter
MELPER	Melanitta perspicillata		pilkkaniska	vitnackad svärta	Surf Scoter
MELFUS	Melanitta fusca		pilkkasiipi	svärta	Velvet Scoter
MELDEG	Melanitta deglandi		amerikanpilkkasiipi	amerikansk knölsvärta	White-winged Scoter
MELSTE	Melanitta stejnegeri		siperianpilkkasiipi	sibirisk knölsvärta	Stejneger's Scoter
BUCCLA	Bucephala clangula		telkkä	knipa	Common Goldeneye
MERALB	Mergellus albellus		uivelo	salskrake	Smew
MERSER	Mergus serrator		tukkakoskelo	småskrake	Red-breasted Merganser
MERMER	Mergus merganser		isokoskelo	storskrake	Common Merganser
NETRUF	Netta rufina		punapäänarsku	rödhuvad dykand	Red-crested Pochard
AYTNYR	Aythya nyroca		ruskosotka	vitögd dykand	Ferruginous Duck
AYTFER	Aythya ferina		punasotka	brunand	Common Pochard
AYTCOL	Aythya collaris		amerikantukkasotka	ringand	Ring-necked Duck
AYTFUL	Aythya fuligula		tukkasotka	vigg	Tufted Duck
AYTAFF	Aythya affinis		pikkulapasotka	mindre bergand	Lesser Scaup
AYTMAR	Aythya marila		lapasotka	bergand	Greater Scaup
SIBFOR	Sibirionetta formosa		siperiantavi	gulkindad kricka	Baikal Teal
SPAQUE	Spatula querquedula		heinätavi	årta	Garganey
SPADIS	Spatula discors		sinisiipitavi	blåvingad årta	Blue-winged Teal
SPACLY	Spatula clypeata		lapasorsa	skedand	Northern Shoveler
MARSTR	Mareca strepera		harmaasorsa	snatterand	Gadwall
MARPEN	Mareca penelope		haapana	bläsand	Eurasian Wigeon
MARAME	Mareca americana		amerikanhaapana	amerikansk bläsand	American Wigeon
ANAPLA	Anas platyrhynchos		sinisorsa	gräsand	Mallard
ANARUB	Anas rubripes		nokisorsa	svartand	American Black Duck
ANAACU	Anas acuta		jouhisorsa	stjärtand	Northern Pintail
ANACRE	Anas crecca		tavi	kricka	Green-winged Teal
Lahko Galliformes - Kanalinnut					
Heimo Phasianidae - Aitokanat					
TETBON	Tetrastes bonasia		pyy	järpe	Hazel Grouse
LAGMUT	Lagopus muta		kiiruna	fjällripa	Rock Ptarmigan
LAGLAG	Lagopus lagopus		riekko	dalripa	Willow Ptarmigan
TETURO	Tetrao urogallus		metso	tjäder	Western Capercaillie
LYRTET	Lyrurus tetrix		teeri	orre	Black Grouse
PERPER	Perdix perdix		peltopyy	rapphöna	Grey Partridge
PHACOL	Phasianus colchicus	C	fasaani	fasan	Common Pheasant
COTCOT	Coturnix coturnix		viiriäinen	vaktel	Common Quail
Lahko Podicipediformes - Uikkulinnut					
Heimo Podicipedidae - Uikut					
TACRUF	Tachybaptus ruficollis		pikku-uikku	smådopping	Little Grebe
PODAUR	Podiceps auritus		mustakurkku-uikku	svarthakedopping	Horned Grebe
PODGRI	Podiceps grisegena		härkälintu	gråhakedopping	Red-necked Grebe
PODCRI	Podiceps cristatus		silkkiuikku	skäggdopping	Great Crested Grebe
PODNIG	Podiceps nigricollis		mustakaulauikku	svarthalsad dopping	Black-necked Grebe
Lahko Otidiformes - Trappilinnut					
Heimo Otidae - Trapit					
OTITAR	Otis tarda	B	isotrappi	stortrapp	Great Bustard
CHLMAC	Chlamydotis macqueenii	B	idänkaulustrappi	kragtrapp	Asian Houbara
TETTET	Tetrax tetrax		pikkutrappi	småtrapp	Little Bustard
Lahko Cuculiformes - Käkilinnut					
Heimo Cuculidae - Käet					
CLAGLA	Clamator glandarius		harakkakäki	skatgök	Great Spotted Cuckoo
CUCCAN	Cuculus canorus		käki	gök	Common Cuckoo
CUCOPT	Cuculus optatus		idänkäki	tajgagök	Oriental Cuckoo
Lahko Pteroclidiformes - Hietakanalinnut					
Heimo Pteroclididae - Hietakyyhkyt					
SYRPAR	Syrrhaptes paradoxus		arokyyhky	stäppflyghöna	Pallas's Sandgrouse
Lahko Columbiformes - Kyyhkylinnut					
Heimo Columbidae - Kyyhkyt					
STRORI	Streptopelia orientalis		idänturturikyyhky	större turturduva	Oriental Turtle Dove
STRTUR	Streptopelia turtur		turturikyyhky	turturduva	European Turtle Dove
STRDEC	Streptopelia decaocto		turkinkyyhky	turkduva	Eurasian Collared Dove
COLPAL	Columba palumbus		sepelkyyhky	ringduva	Common Wood Pigeon
COLLIV	Columba livia	C	kesykyyhky	tamduva	Feral Pigeon
COLOEN	Columba oenas		uuttukyyhky	skogsduva	Stock Dove
Lahko Gruiformes - Kurkilinnut					
Heimo Gruidae - Kurjet					
ANTCAN	Antigone canadensis		hietakurki	prärietrana	Sandhill Crane
GRUVIR	Grus virgo		neitokurki	jungfrutrana	Demoiselle Crane
GRUGRU	Grus grus		kurki	trana	Common Crane
Heimo Rallidae - Rantakanat					
RALAQU	Rallus aquaticus		luhtakana	vattenrall	Water Rail
CRECRE	Crex crex		ruisrääkkä	kornknarr	Corn Crake
PORPOR	Porzana porzana		luhtahuitti	småfläckig sumphöna	Spotted Crake
GALCHL	Gallinula chloropus		liejukana	rörhöna	Common Moorhen
FULATR	Fulica atra		nokikana	sothöna	Eurasian Coot
PORALL	Porphyrio alleni		kurnuliejukana	mindre sultanhöna	Allen's Gallinule
ZAPPAR	Zapornia parva		pikkuhuitti	mindre sumphöna	Little Crake
ZAPPUS	Zapornia pusilla		kääpiöhuitti	dvärgsumphöna	Baillon's Crake
Lahko Charadriiformes - Rantalinnut					
Heimo Burhinidae - Paksujalat					
BUROED	Burhinus oedicnemus		paksujalka	tjockfot	Eurasian Stone-curlew
Heimo Recurvirostridae - Avosetit					
RECAVO	Recurvirostra avosetta		avosetti	skärfläcka	Pied Avocet
HIMHIM	Himantopus himantopus		pitkäjalka	styltlöpare	Black-winged Stilt
Heimo Haematopodidae - Meriharakat					
HAEOST	Haematopus ostralegus		meriharakka	strandskata	Eurasian Oystercatcher
Heimo Charadriidae - Kurmitsat					
PLUSQU	Pluvialis squatarola		tundrakurmitsa	kustpipare	Grey Plover
PLUAPR	Pluvialis apricaria		kapustarinta	ljungpipare	European Golden Plover
PLUDOM	Pluvialis dominica		amerikankurmitsa	amerikansk tundrapipare	American Golden Plover
PLUFUL	Pluvialis fulva		siperiankurmitsa	sibirisk tundrapipare	Pacific Golden Plover
EUDMOR	Eudromias morinellus		keräkurmitsa	fjällpipare	Eurasian Dotterel
CHAHIA	Charadrius hiaticula		tylli	större strandpipare	Common Ringed Plover
THIDUB	Thinornis dubius		pikkutylli	mindre strandpipare	Little Ringed Plover
VANVAN	Vanellus vanellus		töyhtöhyyppä	tofsvipa	Northern Lapwing
VANGRE	Vanellus gregarius		arohyyppä	stäppvipa	Sociable Lapwing
VANLEU	Vanellus leucurus		suohyyppä	sumpvipa	White-tailed Lapwing
ANAASI	Anarhynchus asiaticus		kaspiantylli	kaspisk pipare	Caspian Plover
ANAVER	Anarhynchus veredus		gobintylli	orientpipare	Oriental Plover
ANAATR	Anarhynchus atrifrons		ylänkötylli	tibetpipare	Tibetan Sand Plover
ANALES	Anarhynchus leschenaultii		aavikkotylli	ökenpipare	Greater Sand Plover
ANAALE	Anarhynchus alexandrinus		mustajalkatylli	svartbent strandpipare	Kentish Plover
Heimo Scolopacidae - Kurpat					
BARLON	Bartramia longicauda		preeriakahlaaja	piparsnäppa	Upland Sandpiper
NUMMIN	Numenius minutus		taigakuovi	dvärgspov	Little Curlew
NUMPHA	Numenius phaeopus		pikkukuovi	småspov	Eurasian Whimbrel
NUMARQ	Numenius arquata		kuovi	storspov	Eurasian Curlew
LIMLAP	Limosa lapponica		punakuiri	myrspov	Bar-tailed Godwit
LIMLIM	Limosa limosa		mustapyrstökuiri	rödspov	Black-tailed Godwit
LIMSCO	Limnodromus scolopaceus		tundrakurppelo	större beckasinsnäppa	Long-billed Dowitcher
LYMMIN	Lymnocryptes minimus		jänkäkurppa	dvärgbeckasin	Jack Snipe
SCORUS	Scolopax rusticola		lehtokurppa	morkulla	Eurasian Woodcock
GALMED	Gallinago media		heinäkurppa	dubbelbeckasin	Great Snipe
GALMEG	Gallinago megala		siperiankurppa	tajgabeckasin	Swinhoe's Snipe
GALDEL	Gallinago delicata		amerikantaivaanvuohi	amerikansk beckasin	Wilson's Snipe
GALGAL	Gallinago gallinago		taivaanvuohi	enkelbeckasin	Common Snipe
XENCIN	Xenus cinereus		rantakurvi	tereksnäppa	Terek Sandpiper
ACTHYP	Actitis hypoleucos		rantasipi	drillsnäppa	Common Sandpiper
ACTMAC	Actitis macularius		amerikansipi	fläckdrillsnäppa	Spotted Sandpiper
PHATRI	Phalaropus tricolor		amerikanvesipääsky	präriesimsnäppa	Wilson's Phalarope
PHAFUL	Phalaropus fulicarius		isovesipääsky	brednäbbad simsnäppa	Red Phalarope
PHALOB	Phalaropus lobatus		vesipääsky	smalnäbbad simsnäppa	Red-necked Phalarope
TRIOCH	Tringa ochropus		metsäviklo	skogssnäppa	Green Sandpiper
TRISTA	Tringa stagnatilis		lampiviklo	dammsnäppa	Marsh Sandpiper
TRIGLA	Tringa glareola		liro	grönbena	Wood Sandpiper
TRITOT	Tringa totanus		punajalkaviklo	rödbena	Common Redshank
TRIFLA	Tringa flavipes		keltajalkaviklo	mindre gulbena	Lesser Yellowlegs
TRISEM	Tringa semipalmata		preeriaviklo	willet	Willet
TRIERY	Tringa erythropus		mustaviklo	svartsnäppa	Spotted Redshank
TRINEB	Tringa nebularia		valkoviklo	gluttsnäppa	Common Greenshank
AREINT	Arenaria interpres		karikukko	roskarl	Ruddy Turnstone
CALCAN	Calidris canutus		isosirri	kustsnäppa	Red Knot
CALPUG	Calidris pugnax		suokukko	brushane	Ruff
CALACU	Calidris acuminata		suippopyrstösirri	spetsstjärtad snäppa	Sharp-tailed Sandpiper
CALFAL	Calidris falcinellus		jänkäsirriäinen	myrsnäppa	Broad-billed Sandpiper
CALFER	Calidris ferruginea		kuovisirri	spovsnäppa	Curlew Sandpiper
CALHIM	Calidris himantopus		pitkäkoipisirri	styltsnäppa	Stilt Sandpiper
CALRUF	Calidris ruficollis		rusokaulasirri	rödhalsad snäppa	Red-necked Stint
CALTEM	Calidris temminckii		lapinsirri	mosnäppa	Temminck's Stint
CALSMI	Calidris subminuta		siperiansirri	långtåsnäppa	Long-toed Stint
CALSRU	Calidris subruficollis		tundravikla	prärielöpare	Buff-breasted Sandpiper
CALALB	Calidris alba		pulmussirri	sandlöpare	Sanderling
CALALP	Calidris alpina		suosirri	kärrsnäppa	Dunlin
CALMAR	Calidris maritima		merisirri	skärsnäppa	Purple Sandpiper
CALBAI	Calidris bairdii		eskimosirri	gulbröstad snäppa	Baird's Sandpiper
CALMEL	Calidris melanotos		palsasirri	tuvsnäppa	Pectoral Sandpiper
CALMIN	Calidris minuta		pikkusirri	småsnäppa	Little Stint
CALLLA	Calidris minutilla	B	amerikansirri	dvärgsnäppa	Least Sandpiper
CALFUS	Calidris fuscicollis		valkoperäsirri	vitgumpsnäppa	White-rumped Sandpiper
Heimo Glareolidae - Pääskykahlaajat					
CURSOR	Cursorius cursor		aavikkojuoksija	ökenlöpare	Cream-colored Courser
GLAMAL	Glareola maldivarum		aasianpääskykahlaaja	orientvadarsvala	Oriental Pratincole
GLANOR	Glareola nordmanni		aropääskykahlaaja	svartvingad vadarsvala	Black-winged Pratincole
GLAPRA	Glareola pratincola		pääskykahlaaja	rödvingad vadarsvala	Collared Pratincole
Heimo Stercorariidae - Kihut					
STECUS	Stercorarius parasiticus		merikihu	kustlabb	Parasitic Jaeger
STELON	Stercorarius longicaudus		tunturikihu	fjällabb	Long-tailed Jaeger
STEPOM	Stercorarius pomarinus		leveäpyrstökihu	bredstjärtad labb	Pomarine Jaeger
STESKU	Stercorarius skua		isokihu	storlabb	Great Skua
Heimo Alcidae - Ruokit					
FRAARC	Fratercula arctica		lunni	lunnefågel	Atlantic Puffin
SYNANT	Synthliboramphus antiquus		mustakurkkumurri	kragalka	Ancient Murrelet
CEPGRY	Cepphus grylle		riskilä	tobisgrissla	Black Guillemot
ALCTOR	Alca torda		ruokki	tordmule	Razorbill
ALLALL	Alle alle		pikkuruokki	alkekung	Little Auk
URILOM	Uria lomvia		pohjankiisla	spetsbergsgrissla	Thick-billed Murre
URIAAL	Uria aalge		etelänkiisla	sillgrissla	Common Murre
Heimo Laridae - Lokit					
STEALB	Sternula albifrons		pikkutiira	småtärna	Little Tern
HYDCAS	Hydroprogne caspia		räyskä	skräntärna	Caspian Tern
GELNIL	Gelochelidon nilotica		hietatiira	sandtärna	Gull-billed Tern
CHLHYB	Chlidonias hybrida		valkoposkitiira	skäggtärna	Whiskered Tern
CHLLEU	Chlidonias leucopterus		valkosiipitiira	vitvingad tärna	White-winged Tern
CHLNIG	Chlidonias niger		mustatiira	svarttärna	Black Tern
THASAN	Thalasseus sandvicensis		riuttatiira	kentsk tärna	Sandwich Tern
STEAEA	Sterna paradisaea		lapintiira	silvertärna	Arctic Tern
STEHIR	Sterna hirundo		kalatiira	fisktärna	Common Tern
HYDMIN	Hydrocoloeus minutus		pikkulokki	dvärgmås	Little Gull
RHOROS	Rhodostethia rosea		ruusulokki	rosenmås	Ross's Gull
RISTRI	Rissa tridactyla		pikkukajava	tretåig mås	Black-legged Kittiwake
XEMSAB	Xema sabini		tiiralokki	tärnmås	Sabine's Gull
PAGEBU	Pagophila eburnea		jäälokki	ismås	Ivory Gull
CHRGEN	Chroicocephalus genei		kaitanokkalokki	långnäbbad mås	Slender-billed Gull
CHRRID	Chroicocephalus ridibundus		naurulokki	skrattmås	Black-headed Gull
LEUATR	Leucophaeus atricilla		nokisiipilokki	sotvingad mås	Laughing Gull
LEUPIP	Leucophaeus pipixcan		preerianaurulokki	präriemås	Franklin's Gull
ICHAUD	Ichthyaetus audouinii		välimerenlokki	rödnäbbad trut	Audouin's Gull
ICHMEL	Ichthyaetus melanocephalus		mustanmerenlokki	svarthuvad mås	Mediterranean Gull
LARCAN	Larus canus		kalalokki	fiskmås	Common Gull
LARCAC	Larus cachinnans		aroharmaalokki	kaspisk trut	Caspian Gull
LARARG	Larus argentatus		harmaalokki	gråtrut	European Herring Gull
LARMIC	Larus michahellis		etelänharmaalokki	medelhavstrut	Yellow-legged Gull
LARMAR	Larus marinus		merilokki	havstrut	Great Black-backed Gull
LARHYP	Larus hyperboreus		isolokki	vittrut	Glaucous Gull
LARFUS	Larus fuscus		selkälokki	silltrut	Lesser Black-backed Gull
